domain,url,bias_rating,factual_reporting_rating,category
(the) interpreter magazine,http://www.interpretermag.com/,-8,HIGH,whitelist
680 news,http://www.680news.com/,-3,HIGH,whitelist
71 republic,https://71republic.com/,15,HIGH,whitelist
9 news (australia),http://www.9news.com.au/,6,HIGH,whitelist
abc news australia,http://www.abc.net.au/news/,-4,HIGH,whitelist
abc news,http://abcnews.go.com/,-13,HIGH,whitelist
abc11 eyewitness news,http://abc11.com/,-11,HIGH,whitelist
above the law,http://abovethelaw.com/,-9,HIGH,whitelist
abs-cbn news,http://news.abs-cbn.com/,-5,HIGH,whitelist
acculturated,https://acculturated.com,24,HIGH,whitelist
act.tv,http://act.tv,-26,HIGH,whitelist
advocate,http://www.advocate.com/,-22,HIGH,whitelist
aeon,https://aeon.co/,-10,HIGH,whitelist
afp (agence france presse),https://www.afp.com/en/home,-5,HIGH,whitelist
africa news,http://www.africanews.com/,-2,HIGH,whitelist
african arguments,http://africanarguments.org/,-12,HIGH,whitelist
agerpres,https://www.agerpres.ro/english,-1,HIGH,whitelist
ahram online,http://english.ahram.org.eg/,-2,HIGH,whitelist
airwars,https://airwars.org/,-1,HIGH,whitelist
akkadian times,http://akkadiantimes.com,-22,HIGH,whitelist
akron beacon journal,http://www.ohio.com/,-9,HIGH,whitelist
al arabiya,https://english.alarabiya.net/,-3,HIGH,whitelist
al bawaba,http://www.albawaba.com/,-3,HIGH,whitelist
al jazeera,http://www.aljazeera.com/,-8,HIGH,whitelist
al majalla,http://eng.majalla.com/,-4,HIGH,whitelist
al monitor,http://www.al-monitor.com/pulse/home.html,-13,HIGH,whitelist
al-hayat,http://www.alhayat.com/,-13,HIGH,whitelist
al.com (alabama news),http://www.al.com/,13,HIGH,whitelist
alabama political reporter,http://www.alreporter.com,1,HIGH,whitelist
alabama today,https://altoday.com/,-2,HIGH,whitelist
alan guttmacher institute,https://www.guttmacher.org/,-12,HIGH,whitelist
alaska dispatch news,http://www.adn.com/,-10,HIGH,whitelist
albany democrat herald,http://democratherald.com,-2,HIGH,whitelist
albany times-union,http://www.timesunion.com/,-8,HIGH,whitelist
albuquerque journal,https://www.abqjournal.com/,-5,HIGH,whitelist
allgov,http://www.allgov.com,-1,VERY HIGH,whitelist
alliance for justice (afj),https://www.afj.org/,-22,HIGH,whitelist
alliance for securing democracy,http://securingdemocracy.gmfus.org/,2,HIGH,whitelist
allied progress,https://alliedprogress.org,-16,HIGH,whitelist
altnewsmedia.net,https://altnewsmedia.net,24,HIGH,whitelist
am new york,http://www.amny.com/,-13,HIGH,whitelist
amandla,http://aidc.org.za/amandla-media/,-23,HIGH,whitelist
america magazine,http://www.americamagazine.org/,-8,HIGH,whitelist
americablog,http://americablog.com/,-23,HIGH,whitelist
american action forum,https://www.americanactionforum.org/,14,HIGH,whitelist
american civil liberties union (aclu),https://www.aclu.org/,-10,HIGH,whitelist
american council on science and health,http://acsh.org/,9,HIGH,whitelist
american firearms institute,http://www.americanfirearms.org,13,HIGH,whitelist
american foreign policy council (afpc),http://www.afpc.org/,10,HIGH,whitelist
american heritage,http://www.americanheritage.com,1,HIGH,whitelist
american military news,https://americanmilitarynews.com,27,HIGH,whitelist
american public media,https://www.americanpublicmedia.org,-8,HIGH,whitelist
american spectator,http://spectator.org/,26,HIGH,whitelist
american united for separation of church and state,http://www.au.org/,-18,HIGH,whitelist
americas quarterly,http://www.americasquarterly.org/,10,HIGH,whitelist
