domain,url,bias_rating,factual_reporting_rating
(the) interpreter magazine,http://www.interpretermag.com/,-8,HIGH
680 news,http://www.680news.com/,-3,HIGH
71 republic,https://71republic.com/,15,HIGH
9 news (australia),http://www.9news.com.au/,6,HIGH
abc news australia,http://www.abc.net.au/news/,-4,HIGH
abc news,http://abcnews.go.com/,-13,HIGH
abc11 eyewitness news,http://abc11.com/,-11,HIGH
above the law,http://abovethelaw.com/,-9,HIGH
abs-cbn news,http://news.abs-cbn.com/,-5,HIGH
acculturated,https://acculturated.com,24,HIGH
act.tv,http://act.tv,-26,HIGH
advocate,http://www.advocate.com/,-22,HIGH
aeon,https://aeon.co/,-10,HIGH
afp (agence france presse),https://www.afp.com/en/home,-5,HIGH
africa news,http://www.africanews.com/,-2,HIGH
african arguments,http://africanarguments.org/,-12,HIGH
agerpres,https://www.agerpres.ro/english,-1,HIGH
ahram online,http://english.ahram.org.eg/,-2,HIGH
airwars,https://airwars.org/,-1,HIGH
akkadian times,http://akkadiantimes.com,-22,HIGH
akron beacon journal,http://www.ohio.com/,-9,HIGH
al arabiya,https://english.alarabiya.net/,-3,HIGH
al bawaba,http://www.albawaba.com/,-3,HIGH
al jazeera,http://www.aljazeera.com/,-8,HIGH
al majalla,http://eng.majalla.com/,-4,HIGH
al monitor,http://www.al-monitor.com/pulse/home.html,-13,HIGH
al-hayat,http://www.alhayat.com/,-13,HIGH
al.com (alabama news),http://www.al.com/,13,HIGH
alabama political reporter,http://www.alreporter.com,1,HIGH
alabama today,https://altoday.com/,-2,HIGH
alan guttmacher institute,https://www.guttmacher.org/,-12,HIGH
alaska dispatch news,http://www.adn.com/,-10,HIGH
albany democrat herald,http://democratherald.com,-2,HIGH
albany times-union,http://www.timesunion.com/,-8,HIGH
albuquerque journal,https://www.abqjournal.com/,-5,HIGH
allgov,http://www.allgov.com,-1,VERY HIGH
alliance for justice (afj),https://www.afj.org/,-22,HIGH
alliance for securing democracy,http://securingdemocracy.gmfus.org/,2,HIGH
allied progress,https://alliedprogress.org,-16,HIGH
altnewsmedia.net,https://altnewsmedia.net,24,HIGH
am new york,http://www.amny.com/,-13,HIGH
amandla,http://aidc.org.za/amandla-media/,-23,HIGH
america magazine,http://www.americamagazine.org/,-8,HIGH
americablog,http://americablog.com/,-23,HIGH
american action forum,https://www.americanactionforum.org/,14,HIGH
american civil liberties union (aclu),https://www.aclu.org/,-10,HIGH
american council on science and health,http://acsh.org/,9,HIGH
american firearms institute,http://www.americanfirearms.org,13,HIGH
american foreign policy council (afpc),http://www.afpc.org/,10,HIGH
american heritage,http://www.americanheritage.com,1,HIGH
american military news,https://americanmilitarynews.com,27,HIGH
american public media,https://www.americanpublicmedia.org,-8,HIGH
american spectator,http://spectator.org/,26,HIGH
american united for separation of church and state,http://www.au.org/,-18,HIGH
americas quarterly,http://www.americasquarterly.org/,10,HIGH
ammoland,http://www.ammoland.com/,24,HIGH
amnesty international,https://www.amnesty.org/en/,-5,HIGH
angry white men,https://angrywhitemen.org,-21,HIGH
anniston star,https://www.annistonstar.com,-16,HIGH
anthropocene magazine,http://www.anthropocenemagazine.org/,-4,VERY HIGH
anti-defamation league,http://www.adl.org/,-11,HIGH
aol,https://www.aol.com/,-14,HIGH
apm reports,https://www.apmreports.org/,-10,HIGH
aptn news,http://aptnnews.ca/aptn-national-news/,-4,HIGH
ara news,http://aranews.net/,-12,HIGH
arab news,http://www.arabnews.com/,10,HIGH
arizona capitol times,https://azcapitoltimes.com/,-1,HIGH
arizona daily star,http://tucson.com/,-13,HIGH
arizona daily sun,http://azdailysun.com,-7,HIGH
arizona republic,http://www.azcentral.com/,12,HIGH
arkansas democrat-gazette,http://www.arkansasonline.com/,11,HIGH
armstrong economics,https://www.armstrongeconomics.com,11,HIGH
arutz sheva (israel national news),http://www.israelnationalnews.com/,15,HIGH
asharq al-awsat,http://english.aawsat.com/,1,HIGH
asheville citizen-times,http://www.citizen-times.com/,-7,HIGH
asia times,http://www.atimes.com/,-4,HIGH
asian news international (ani),https://www.aninews.in,1,HIGH
associated press,https://apnews.com/,-5,VERY HIGH
atavist magazine,https://magazine.atavist.com/,-8,VERY HIGH
atlanta black star,http://atlantablackstar.com/,-15,HIGH
atlanta journal-constitution,http://www.ajc.com/,-13,HIGH
atlantic council,http://www.atlanticcouncil.org/,3,HIGH
atlantic media,http://www.atlanticmedia.com/,-7,HIGH
attn:,http://www.attn.com/,-11,HIGH
austin american-statesman,http://www.statesman.com/,-8,HIGH
autostraddle,https://www.autostraddle.com/,-23,HIGH
axios,https://www.axios.com/,-9,HIGH
backchannel,https://backchannel.com/,-8,VERY HIGH
backed by fact,http://backedbyfact.com/,-18,HIGH
ballotpedia,https://ballotpedia.org/Main_Page,-1,VERY HIGH
baltimore sun,http://www.baltimoresun.com/,-13,HIGH
bangor daily news,http://bangordailynews.com,-9,HIGH
baptist news global,https://baptistnews.com/,-7,HIGH
battle creek enquirer,https://www.battlecreekenquirer.com,-8,HIGH
battlefords news optimist,http://www.newsoptimist.ca,-2,HIGH
bay area reporter,http://www.ebar.com/,-19,HIGH
bbarta24,http://en.bbarta24.net/,-3,HIGH
bbc,http://www.bbc.com/news,-7,VERY HIGH
bdnews24,http://bdnews24.com/,-4,HIGH
beijing review,http://www.bjreview.com/,-17,HIGH
being liberal,https://www.themaven.net/beingliberal,-27,HIGH
being libertarian,https://beinglibertarian.com/,23,HIGH
bellingcat,https://www.bellingcat.com/,0,HIGH
berkeleyside,http://www.berkeleyside.com,-13,HIGH
berkshire eagle,http://www.berkshireeagle.com/,-11,HIGH
better government association,http://www.bettergov.org/,-5,HIGH
big think,http://bigthink.com/,-2,VERY HIGH
billings gazette,http://billingsgazette.com,7,HIGH
billmoyers.com,http://billmoyers.com/,-9,VERY HIGH
bipartisan policy center,https://bipartisanpolicy.org,9,HIGH
bismarck tribune,http://bismarcktribune.com,1,HIGH
bitch media,https://bitchmedia.org/,-22,HIGH
black agenda report,http://blackagendareport.com/,-22,HIGH
black lives matter,http://blacklivesmatter.com/,-21,HIGH
bloomberg news,https://www.bloomberg.com/,-8,HIGH
blue lives matter,http://bluelivesmatter.blue/,24,HIGH
bluestem prairie,http://www.bluestemprairie.com/,-13,HIGH
bno news,http://bnonews.com/,-3,HIGH
boing boing,http://boingboing.net/,-19,HIGH
boston globe,https://www.bostonglobe.com/,-11,HIGH
boston herald,http://www.bostonherald.com/,9,HIGH
boy genius report (bgr),http://bgr.com/,-10,HIGH
breaking defense,http://breakingdefense.com/,13,HIGH
breakthrough institute,https://thebreakthrough.org,8,HIGH
brennan center for justice,https://www.brennancenter.org/,-15,HIGH
bridge magazine,http://www.bridgemi.com,-2,HIGH
brief.news,http://www.brief.news/,-1,HIGH
brookings institute,https://www.brookings.edu/,-14,VERY HIGH
buffalo news,http://www.buffalonews.com/,-12,HIGH
bulletin of the atomic scientists,http://thebulletin.org/,-5,VERY HIGH
bullshido,http://www.bullshido.net/,-3,HIGH
business 2 community,http://www.business2community.com/,-2,HIGH
business insider,http://www.businessinsider.com/,-11,HIGH
bust magazine,http://bust.com/,-23,HIGH
bustle magazine,https://www.bustle.com/,-14,HIGH
c-span,http://www.c-span.org/,-1,VERY HIGH
calgary herald,http://calgaryherald.com/,-13,HIGH
calgary sun,http://www.calgarysun.com/,13,HIGH
california political review,http://www.capoliticalreview.com/,14,HIGH
calwatchdog.com,https://calwatchdog.com,-8,HIGH
canadaland,http://www.canadalandshow.com,-13,HIGH
canadian dimension,https://canadiandimension.com/,-18,HIGH
canadian jewish news (cjn),http://www.cjnews.com/,10,HIGH
canadian public affairs channel (cpac),http://www.cpac.ca/,-1,HIGH
canadian taxpayers federation,http://www.taxpayer.com/,15,HIGH
cape cod times,http://www.capecodtimes.com,-4,HIGH
capital gazette,http://www.capitalgazette.com/,-12,HIGH
capitol fax,https://capitolfax.com,-3,HIGH
carbonated tv,http://www.carbonated.tv/,-26,HIGH
caribbean life news,https://www.caribbeanlifenews.com/,-13,HIGH
carnegie endowment for international peace,http://carnegieendowment.org/,-5,VERY HIGH
carolina public press,http://carolinapublicpress.org/,-12,HIGH
casper star-tribune,http://trib.com,1,HIGH
castanet,http://www.castanet.net/,-4,HIGH
cato institute,http://www.cato.org/,17,HIGH
cbc news (canadian broadcasting),http://www.cbc.ca/news,-12,HIGH
cbs news,http://www.cbsnews.com/,-12,HIGH
cctv america,http://www.cctv-america.com/,-10,HIGH
center for a new american security,http://www.cnas.org/,-4,HIGH
center for a stateless society,https://c4ss.org/,15,HIGH
center for advanced defense studies,http://c4ads.org/,1,VERY HIGH
center for american progress,https://www.americanprogress.org/,-23,HIGH
center for democracy and technology,https://cdt.org,-2,HIGH
center for global development,http://www.cgdev.org/,-4,VERY HIGH
center for inquiry,http://www.centerforinquiry.net/,-1,VERY HIGH
center for international policy,https://www.ciponline.org/,-11,VERY HIGH
center for media and democracy (pr watch),http://www.prwatch.org/cmd,-21,HIGH
center for popular democracy,http://populardemocracy.org/,-16,HIGH
center for public integrity,https://www.publicintegrity.org/,-3,VERY HIGH
